Date,"Weight (kg)","Fat mass (kg)","Bone mass (kg)","Muscle mass (kg)","Hydration (kg)",Comments
"2018-08-08 06:45:46",91.05,21.73,3.42,65.88,46.74,
"2018-08-06 07:21:43",91.87,,,,,
"2018-08-05 23:06:24",92.53,19.97,3.58,68.96,48.94,
"2018-08-03 06:45:51",90.16,20.58,3.43,66.13,46.81,
"2018-08-02 06:40:01",90.24,19.87,3.47,66.89,47.32,
"2018-07-28 09:38:08",90.72,,,,,
"2018-07-26 07:18:11",90.31,21.47,3.40,65.43,46.37,
"2018-07-24 06:40:02",91.65,21.41,3.46,66.77,47.36,
"2018-07-21 07:26:58",90.45,,,,,
"2018-07-17 07:06:27",90.01,21.59,3.38,65.03,46.09,
"2018-07-11 07:10:47",90.25,21.09,3.41,65.73,46.56,
"2018-07-10 06:33:38",89.89,20.63,3.41,65.83,46.58,
"2018-07-09 06:58:20",90.15,21.11,3.40,65.63,46.48,
"2018-07-08 07:23:19",89.92,21.42,3.38,65.11,46.13,
"2018-07-07 07:26:32",90.01,20.50,3.43,66.07,46.75,
"2018-07-06 08:07:07",90.30,20.22,3.45,66.61,47.14,
"2018-07-05 06:20:22",89.75,20.79,3.40,65.54,46.38,
"2018-07-04 06:39:45",89.87,21.38,3.38,65.10,46.12,
"2018-07-03 06:56:35",89.76,21.96,3.35,64.44,45.71,
"2018-07-02 07:09:48",89.91,22.22,3.34,64.33,45.68,
"2018-07-01 07:36:09",90.11,22.29,3.35,64.45,45.77,
"2018-06-30 07:18:06",90.90,21.79,3.41,65.68,46.60,
"2018-06-29 06:41:07",91.03,21.06,3.45,66.51,47.14,
"2018-06-28 06:36:21",90.66,21.56,3.41,65.68,46.57,
"2018-06-26 06:29:47",90.72,21.28,3.42,66.00,46.78,
"2018-06-25 06:53:07",90.95,21.18,3.44,66.32,47.00,
"2018-06-24 06:39:53",90.08,21.41,3.39,65.27,46.25,
"2018-06-23 07:11:19",90.24,21.72,3.38,65.12,46.18,
"2018-06-22 06:11:36",90.28,20.93,3.42,65.91,46.67,
"2018-06-21 06:33:44",89.55,20.99,3.38,65.16,46.12,
"2018-06-20 06:27:29",90.14,20.82,3.42,65.88,46.64,
"2018-06-19 06:28:50",90.46,21.16,3.42,65.86,46.66,
"2018-06-18 06:37:59",90.64,21.63,3.40,65.59,46.51,
"2018-06-16 07:55:06",91.70,21.43,3.46,66.79,47.38,
"2018-06-14 06:40:42",90.72,21.79,3.40,65.52,46.48,
"2018-06-13 06:44:13",90.71,21.04,3.43,66.22,46.92,
"2018-06-12 06:57:20",90.35,20.72,3.43,66.19,46.86,
"2018-06-11 06:39:33",90.33,21.25,3.41,65.66,46.52,
"2018-06-10 08:09:40",90.68,19.63,3.50,67.53,47.81,
"2018-06-08 07:52:42",91.01,21.13,3.44,66.42,47.07,
"2018-06-07 06:52:27",90.48,21.69,3.39,65.39,46.37,
"2018-06-06 06:54:07",90.16,20.89,3.42,65.84,46.62,
"2018-06-05 06:39:16",90.25,21.58,3.39,65.27,46.27,
"2018-06-04 06:50:18",89.95,20.22,3.44,66.28,46.89,
"2018-06-03 06:42:08",91.58,21.57,3.45,66.55,47.22,
"2018-05-29 06:24:19",90.73,18.73,3.56,68.42,48.50,
"2018-05-28 06:31:03",90.85,20.11,3.49,67.23,47.61,
"2018-05-26 09:41:23",91.17,18.10,3.62,69.43,49.33,
"2018-05-26 06:50:09",91.54,20.16,3.52,67.85,48.09,
"2018-05-25 06:18:59",91.31,19.61,3.54,68.15,48.30,
"2018-05-24 07:01:00",90.19,20.27,3.45,66.47,47.03,
"2018-05-23 06:51:53",90.09,20.95,3.41,65.71,46.53,
"2018-05-22 06:49:51",90.30,22.44,3.35,64.49,45.83,
"2018-05-21 06:22:39",90.75,20.69,3.45,66.59,47.17,
"2018-05-20 08:12:27",90.86,21.71,3.41,65.73,46.63,
"2018-05-19 07:20:03",90.85,19.70,3.51,67.63,47.89,
"2018-05-18 06:45:34",90.90,21.51,3.42,65.96,46.78,
"2018-05-17 06:53:13",90.51,21.06,3.42,66.01,46.77,
"2018-05-16 05:34:07",90.71,21.45,3.41,65.84,46.68,
"2018-05-15 06:36:53",90.26,21.41,3.40,65.44,46.38,
"2018-05-14 06:23:27",90.15,22.04,3.36,64.73,45.94,
"2018-05-13 07:09:04",90.86,21.61,3.41,65.82,46.69,
"2018-05-12 08:11:43",91.64,21.47,3.46,66.70,47.32,
"2018-05-11 06:42:35",90.30,21.17,3.41,65.71,46.55,
"2018-05-10 07:02:12",90.24,21.57,3.39,65.26,46.27,
"2018-05-09 07:31:55",90.67,21.18,3.43,66.05,46.80,
"2018-05-07 06:33:49",91.13,21.26,3.44,66.41,47.08,
"2018-05-03 06:25:18",89.88,21.06,3.39,65.41,46.32,
"2018-05-02 06:30:42",90.66,20.39,3.46,66.79,47.29,
"2018-04-30 06:48:55",89.96,20.00,3.45,66.50,47.04,
"2018-04-29 06:48:57",90.71,20.56,3.46,66.68,47.23,
"2018-04-28 06:49:59",89.84,21.15,3.39,65.28,46.24,
"2018-04-27 06:12:16",90.20,20.03,3.46,66.69,47.19,
"2018-04-26 06:37:16",90.53,20.28,3.46,66.77,47.27,
"2018-04-25 06:09:40",90.96,20.65,3.46,66.83,47.34,
"2018-04-24 06:29:30",90.32,19.90,3.47,66.94,47.37,
"2018-04-23 06:37:59",89.34,19.66,3.44,66.23,46.81,
"2018-04-21 07:30:29",89.95,20.20,3.44,66.29,46.90,
"2018-04-19 07:14:37",89.68,20.18,3.43,66.06,46.72,
"2018-04-18 06:52:40",89.55,20.25,3.42,65.86,46.58,
"2018-04-17 06:36:59",90.09,20.49,3.43,66.15,46.82,
"2018-04-16 06:43:54",90.14,19.77,3.47,66.89,47.33,
"2018-04-15 07:09:57",90.00,20.29,3.44,66.26,46.88,
"2018-04-14 07:03:27",90.38,19.99,3.47,66.91,47.36,
"2018-04-12 06:22:54",89.91,19.19,3.49,67.22,47.55,
"2018-04-11 06:22:08",90.56,19.52,3.50,67.52,47.80,
"2018-04-10 06:17:01",89.58,20.15,3.42,65.99,46.67,
"2018-04-09 06:16:16",89.76,20.46,3.42,65.86,46.60,
"2018-04-08 06:31:17",90.07,20.39,3.43,66.23,46.87,
"2018-04-07 06:26:34",89.08,20.07,3.40,65.59,46.36,
"2018-04-06 06:50:55",89.14,19.68,3.42,66.02,46.65,
"2018-04-05 06:25:52",88.94,19.87,3.41,65.64,46.38,
"2018-04-04 07:10:05",89.34,20.76,3.38,65.19,46.12,
"2018-04-03 06:19:29",88.84,20.67,3.36,64.80,45.82,
"2018-04-02 06:32:02",88.58,20.93,3.34,64.30,45.48,
"2018-04-01 06:59:52",88.71,21.37,3.33,63.99,45.31,
"2018-03-30 07:09:49",89.74,20.45,3.42,65.86,46.60,
"2018-03-29 06:32:21",89.24,21.33,3.35,64.54,45.71,
"2018-03-28 06:28:32",89.64,21.48,3.36,64.78,45.90,
"2018-03-27 06:56:43",89.20,21.21,3.36,64.61,45.75,
"2018-03-26 07:13:46",89.57,21.03,3.38,65.15,46.12,
"2018-03-25 06:51:08",89.47,20.72,3.39,65.34,46.23,
"2018-03-23 05:52:45",89.19,21.50,3.34,64.33,45.58,
"2018-03-21 06:18:03",89.54,21.26,3.37,64.90,45.97,
"2018-03-20 06:32:35",89.07,21.66,3.33,64.06,45.41,
"2018-03-19 06:42:01",89.45,21.62,3.35,64.46,45.69,
"2018-03-18 06:28:02",89.43,21.43,3.36,64.62,45.79,
"2018-03-16 06:20:25",89.32,21.21,3.36,64.73,45.84,
"2018-03-15 06:49:57",90.38,20.84,3.43,66.09,46.81,
"2018-03-14 06:17:42",90.86,,,,,
"2018-03-13 06:10:11",90.21,21.39,3.39,65.41,46.36,
"2018-03-07 06:50:54",91.78,,,,,
"2018-03-05 06:18:43",91.45,21.11,3.47,66.86,47.41,
"2018-03-04 09:23:55",91.02,18.49,3.59,68.93,48.91,
"2018-03-01 06:51:53",90.63,,,,,
"2018-02-28 06:55:25",90.41,20.77,3.43,66.19,46.88,
"2018-02-26 06:43:12",90.17,21.22,3.40,65.53,46.43,
"2018-02-24 06:37:26",91.53,,,,,
"2018-02-21 06:27:42",90.27,21.67,3.38,65.20,46.24,
"2018-02-20 06:57:58",89.68,,,,,
"2018-02-19 06:24:44",90.31,20.83,3.42,66.04,46.77,
"2018-02-18 06:39:31",90.37,20.38,3.45,66.53,47.10,
"2018-02-17 07:40:34",89.77,20.05,3.44,66.26,46.87,
"2018-02-15 06:49:14",89.71,21.16,3.38,65.15,46.15,
"2018-02-14 07:13:10",89.86,25.13,3.23,61.48,44.25,
"2018-02-13 07:22:22",90.14,21.05,3.41,65.67,46.52,
"2018-02-12 06:42:41",89.85,21.85,3.36,64.62,45.85,
"2018-02-08 07:13:41",91.66,21.64,3.45,66.55,47.24,
"2018-02-07 07:08:28",91.85,21.69,3.46,66.68,47.34,
"2018-02-06 06:30:14",91.36,19.66,3.54,68.15,48.31,
"2018-02-05 06:26:04",91.06,21.64,3.42,65.98,46.82,
"2018-02-03 20:36:49",91.14,21.84,3.42,65.86,46.75,
"2018-01-31 06:23:37",91.31,20.85,3.47,66.97,47.48,
"2018-01-29 06:34:48",90.51,21.48,3.40,65.61,46.52,
"2018-01-29 06:34:22",90.62,21.75,3.40,65.45,46.44,
"2018-01-25 06:22:19",90.61,,,,,
"2018-01-24 07:18:34",90.34,,,,,
"2018-01-23 06:16:35",91.17,21.31,3.44,66.41,47.09,
"2018-01-19 06:14:47",91.32,21.66,3.43,66.21,46.99,
"2018-01-18 06:15:13",91.30,21.83,3.42,66.03,46.87,
"2018-01-17 06:52:22",91.30,21.98,3.42,65.89,46.79,
"2018-01-15 06:21:17",91.16,21.35,3.44,66.36,47.06,
"2018-01-14 09:13:18",91.97,20.05,3.55,68.36,48.48,
"2018-01-13 09:47:04",91.34,,,,,
"2018-01-13 07:36:26",91.53,20.82,3.48,67.20,47.65,
"2018-01-12 06:15:14",92.07,21.09,3.50,67.46,47.87,
"2018-01-11 08:22:41",92.25,20.45,3.54,68.25,48.42,
"2018-01-09 06:13:14",91.50,20.93,3.48,67.07,47.56,
"2018-01-08 06:34:52",90.80,20.22,3.48,67.09,47.52,
"2018-01-07 08:15:44",91.04,,,,,
"2018-01-05 06:25:15",91.48,19.26,3.57,68.64,48.68,
"2018-01-04 06:29:13",91.00,,,,,
"2018-01-03 06:21:15",90.62,20.31,3.46,66.82,47.32,
"2018-01-02 06:36:08",90.83,21.17,3.43,66.21,46.94,
"2017-12-31 07:11:57",90.99,21.11,3.44,66.42,47.09,
"2017-12-29 06:50:55",90.76,20.19,3.48,67.08,47.51,
"2017-12-28 07:57:57",90.42,21.67,3.39,65.34,46.35,
"2017-12-26 08:26:33",89.67,21.60,3.36,64.69,45.87,
"2017-12-25 06:52:53",90.03,21.27,3.39,65.35,46.31,
"2017-12-22 06:50:17",89.93,20.24,3.43,66.23,46.87,
"2017-12-21 06:03:45",90.02,21.17,3.40,65.44,46.36,
"2017-12-19 07:17:52",89.68,20.50,3.41,65.75,46.53,
"2017-12-16 06:52:54",90.13,20.63,3.43,66.06,46.77,
"2017-12-15 07:18:34",89.79,21.21,3.38,65.18,46.18,
"2017-12-14 07:14:43",89.35,20.16,3.41,65.77,46.50,
"2017-12-13 06:59:48",89.64,20.43,3.41,65.79,46.54,
"2017-12-12 05:14:24",89.94,19.18,3.49,67.26,47.59,
"2017-12-11 06:40:20",89.68,20.55,3.41,65.71,46.50,
"2017-12-10 15:27:39",90.11,,,,,
"2017-12-10 04:58:32",89.59,20.34,3.41,65.82,46.56,
"2017-12-09 07:23:24",89.88,19.85,3.45,66.56,47.09,
"2017-12-08 05:56:50",88.79,19.81,3.40,65.56,46.31,
"2017-12-07 07:00:11",88.75,20.17,3.38,65.18,46.06,
"2017-12-06 06:34:07",89.10,20.53,3.38,65.17,46.09,
"2017-12-05 06:30:22",88.94,20.28,3.39,65.26,46.13,
"2017-12-04 06:51:03",89.06,20.45,3.38,65.21,46.12,
"2017-12-02 06:44:00",90.32,19.99,3.47,66.85,47.32,
"2017-11-30 08:23:45",90.06,19.56,3.48,67.00,47.41,
"2017-11-29 06:21:20",89.51,20.18,3.42,65.89,46.61,
"2017-11-28 06:30:53",89.04,21.17,3.35,64.50,45.68,
"2017-11-27 06:38:54",88.56,21.33,3.32,63.89,45.25,
"2017-11-26 07:54:56",89.06,20.41,3.39,65.26,46.15,
"2017-11-25 08:22:28",88.84,19.50,3.42,65.91,46.56,
"2017-11-24 06:52:36",88.87,19.86,3.40,65.59,46.34,
"2017-11-23 07:01:04",88.85,20.07,3.39,65.38,46.20,
"2017-11-22 06:36:29",88.91,20.24,3.39,65.26,46.14,
"2017-11-21 07:15:02",89.12,20.54,3.38,65.19,46.11,
"2017-11-20 06:45:02",88.36,20.53,3.35,64.46,45.57,
"2017-11-16 07:14:28",88.53,19.82,3.39,65.31,46.13,
"2017-11-15 06:39:45",88.55,20.56,3.36,64.62,45.69,
"2017-11-14 06:42:50",88.47,20.37,3.36,64.73,45.75,
"2017-11-13 06:52:49",88.55,19.92,3.39,65.23,46.08,
"2017-11-13 06:52:14",88.76,20.60,3.36,64.78,45.81,
"2017-11-12 17:44:37",89.89,19.44,3.47,66.96,47.37,
"2017-11-12 17:40:12",89.95,19.84,3.46,66.63,47.14,
"2017-11-11 17:30:31",90.20,0.00,,,,
